"name","archive_version","nrt","height","nonce","deltart"
"london",7,"1545707716821","1565690","589661","20237215"
"london",7,"1545721594700","1565690","589661","20251093"
"london",7,"1545779279668","1565690","589661","20308778"
"london",7,"1545880598738","1565690","589661","20410097"
"london",7,"1545897045822","1565690","589661","20426544"
"london",7,"1545913297936","1565690","589661","20442796"
"london",7,"1545924105804","1565690","589661","20453604"
"frankfurt",8,"1539588778630","1568536","2147483843","13773337"
"frankfurt",8,"1539736047597","1568536","2147483843","13920606"
"london",7,"1540286626937","1568536","2147483843","14471185"
"frankfurt",8,"1539472641505","1578847","14876","12413317"
"london",7,"1542901891573","1581881","8460","15478947"
"london",7,"1542901891613","1581882","12589837","15477942"
"london",7,"1542901891660","1581883","671100607","15476638"
"london",7,"1542901891712","1581884","397267","15452763"
"london",7,"1542901891763","1581885","4201279","15451787"
"london",6,"1535795900428","1583266","1193427","8206687"
"frankfurt",8,"1539496344808","1583266","1193427","11907131"
"frankfurt",8,"1539498028575","1583266","1193427","11908815"
"frankfurt",8,"1539754804136","1583266","1193427","12165591"
"london",6,"1535795900479","1583267","37930","8206618"
"london",6,"1535795900536","1583268","2863319341","8204861"
"london",6,"1535795900593","1583269","18671","8203833"
"london",6,"1535795900652","1583270","1092031","8197355"
"london",6,"1535795900712","1583271","6361368","8197176"
"london",6,"1535795900766","1583272","88812","8196414"
"london",6,"1535795900824","1583273","398712","8194419"
"london",6,"1535795900881","1583274","10140","8194005"
"london",6,"1535795900941","1583275","17444","8193781"
"london",6,"1535795901001","1583276","11525","8192569"
"london",6,"1535795901051","1583277","61625","8191741"
"london",6,"1535795901104","1583278","8416858","8190458"
"london",6,"1535795901152","1583279","208676","8189895"
"london",6,"1535795901203","1583280","596963","8184698"
"london",6,"1535795901257","1583281","4009756292","8183816"
"london",6,"1535795901312","1583282","4026545600","8183216"
"london",6,"1535795901367","1583283","1574121","8182363"
"frankfurt",8,"1539816101663","1587293","1932736119","11739919"
"london",7,"1543934433608","1589926","214749833","15548436"
"london",7,"1543934433660","1589927","640110","15545898"
"london",7,"1543934433734","1589928","495813","15545550"
"london",6,"1536818418913","1596549","2141695","7626743"
"frankfurt",8,"1539421905956","1596549","2141695","10230230"
"frankfurt",8,"1539421979354","1596549","2141695","10230304"
"frankfurt",8,"1539422105646","1596549","2141695","10230430"
"frankfurt",8,"1539422559071","1596549","2141695","10230884"
"frankfurt",8,"1539422775069","1596549","2141695","10231100"
"frankfurt",8,"1539540240560","1596549","2141695","10348565"
"frankfurt",8,"1539682994122","1596549","2141695","10491319"
"frankfurt",8,"1539861736486","1596549","2141695","10670061"
"london",7,"1539934296343","1596549","2141695","10742621"
"london",6,"1536818418960","1596550","11973599","7624561"
"london",7,"1539934296413","1596550","11973599","10740439"
"london",6,"1536818419008","1596551","174310","7623794"
"london",7,"1539934296467","1596551","174310","10739671"
"london",6,"1536818419055","1596552","10088","7620856"
"london",7,"1539934296522","1596552","10088","10736733"
"frankfurt",8,"1539727874536","1599986","2987806005","10125702"
"london",7,"1542889668719","1599986","2987806005","13287496"
"frankfurt",8,"1539456952772","1604268","1287652008","9347984"
"frankfurt",8,"1539653347338","1604268","1287652008","9544379"
"london",7,"1543653728759","1604268","1287652008","13544760"
"london",6,"1535536662358","1649454","1073863400","154"
"london",6,"1535536754829","1649455","3959504380","93"
"london",6,"1535609244269","1650071","283880","110"
"london",6,"1535735568714","1651114","301994995","30"
"london",6,"1535899680853","1652535","2385","111"
"london",6,"1535899775588","1652536","2219","96"
"london",6,"1535913956980","1652629","12793","412"
"london",6,"1535913957064","1652630","37280518","97"
"london",6,"1535940130373","1652857","579740","41"
"london",6,"1535986010141","1653272","3573559363","16"
"london",6,"1536440677786","1657077","231022","40"
"london",6,"1536467302926","1657279","1610794135","210"
"london",6,"1536560646214","1658068","43593","360"
"london",6,"1536560646250","1658069","923058162","271"
"london",6,"1536592848363","1658307","2505407876","145"
"london",6,"1536592847874","1658308","2583848258","128"
"london",6,"1536592847887","1658308","2583848258","128"
"london",6,"1536592847925","1658308","2583848258","128"
"london",6,"1536592848000","1658308","2583848258","128"
"london",6,"1536592848482","1658308","2583848258","129"
"london",6,"1536607869522","1658430","3607125039","103"
"london",6,"1536607977544","1658431","1293199376","109"
"london",6,"1536670811926","1658997","142778","62"
"london",6,"1536768486678","1659812","1055291327","169"
"london",6,"1536953670375","1661369","2889885316","10"
"london",6,"1536953998291","1661370","299755","329"
